,qhgk k=12,rtaq k=12,inv k=12
0,496.9034118652344,489.6923854991105,543.8394506929035
1,285.1730651855469,280.9733758394413,315.1902940406678
2,202.43048095703125,199.425480795746,224.94993587338283
3,157.839599609375,155.48179438113493,175.89825095204222
4,129.71343994140625,127.76341365482796,144.78629302887887
5,110.25728607177734,108.58893865879678,123.18780032607644
6,95.95782470703125,94.49513842213905,107.27467346720648
7,84.98538208007812,83.68022543688538,95.04362367043224
8,76.2911605834961,75.10983726545719,85.33954760800115
